"word","count"
"the",172142
"and",105071
"of",96743
"to",81997
"a",70764
"in",56264
"That",44370
"I",44136
"He",41128
"it",40718
"was",33265
"is",30228
"his",28508
"her",26917
"As",25727
"for",25648
"With",25639
"she",24851
"had",24324
"you",22524
"but",21128
"s",20628
"at",19751
"not",18667
"be",18422
"on",17133
"him",14651
"They",14593
"which",14430
"have",14419
"by",14259
"All",14022
"This",13384
"or",13269
"are",13043
"one",12749
"from",12426
"we",11315
"there",11265
"So",11241
"my",11114
"an",10790
"me",10641
"if",10457
"t",10112
"what",9957
"were",9356
"When",9318
"said",9292
"No",8980
"their",8822
"them",8070
"been",7790
"who",7698
"would",7362
"out",7304
"up",7264
"Some",6885
"then",6801
"more",6790
"like",6529
"Man",6472
"about",6158
"do",6030
"has",5914
"will",5862
"into",5802
"very",5783
"can",5596
"than",5591
"time",5515
"little",5494
"other",5494
"Its",5268
"could",5065
"amendment",5060
"things",4957
"now",4955
"any",4926
"upon",4735
"D",4700
"only",4624
"These",4377
"such",4350
"must",4341
"our",4284
"may",4223
"your",4209
"Much",4200
"see",4093
"after",4065
"down",4054
"scramble",4034
"Platitude",4020
"never",3989
"good",3952
"made",3944
"know",3929
"should",3901
"great",3877
